CODE_ETU,PARCOURS
14008401.0,BCG
11012797.0,BCG
13014287.0,BCG
14000059.0,BCG
14000064.0,BCG
14000349.0,BCG
14000443.0,BCG
14000481.0,BCG
14000596.0,BCG
14000602.0,BCG
14000611.0,BCG
14003514.0,BCG
14004871.0,BCG
14006137.0,BCG
15000011.0,BCG
15000013.0,BCG
15000015.0,BCG
15000016.0,BCG
15000023.0,BCG
15000026.0,BCG
15000028.0,BCG
15000030.0,BCG
15000033.0,BCG
15000036.0,BCG
15000039.0,BCG
15000038.0,BCG
15000040.0,BCG
15000044.0,BCG
15000043.0,BCG
15000045.0,BCG
15000046.0,BCG
15000047.0,BCG
15000051.0,BCG
15000052.0,BCG
15000054.0,BCG
15000056.0,BCG
15000058.0,BCG
15000059.0,BCG
15000060.0,BCG
15000063.0,BCG
15000068.0,BCG
15000069.0,BCG
15000070.0,BCG
15000073.0,BCG
15000074.0,BCG
15000075.0,BCG
15000077.0,BCG
15000079.0,BCG
15000081.0,BCG
15000082.0,BCG
15000083.0,BCG
15000085.0,BCG
15000086.0,BCG
15000088.0,BCG
15000089.0,BCG
15000091.0,BCG
15000093.0,BCG
15000092.0,BCG
15000094.0,BCG
15000095.0,BCG
15000096.0,BCG
15000097.0,BCG
15000101.0,BCG
15000104.0,BCG
15000108.0,BCG
15000111.0,BCG
15000113.0,BCG
15000118.0,BCG
15000120.0,BCG
15000124.0,BCG
15000128.0,BCG
15000135.0,BCG
15000138.0,BCG
15000140.0,BCG
15000141.0,BCG
15000144.0,BCG
15000145.0,BCG
15000150.0,BCG
15000153.0,BCG
15000154.0,BCG
15000155.0,BCG
15000157.0,BCG
15000161.0,BCG
15000162.0,BCG
15000164.0,BCG
15000165.0,BCG
15000174.0,BCG
15000177.0,BCG
15000181.0,BCG
15000194.0,BCG
15000196.0,BCG
15000199.0,BCG
15000204.0,BCG
15000208.0,BCG
15000210.0,BCG
15000212.0,BCG
15000214.0,BCG
15000218.0,BCG
15000219.0,BCG
15000221.0,BCG
15000223.0,BCG
15000225.0,BCG
15000228.0,BCG
15000229.0,BCG
15000231.0,BCG
15000233.0,BCG
15000235.0,BCG
15000237.0,BCG
15000238.0,BCG
15000240.0,BCG
15000242.0,BCG
15000243.0,BCG
15000245.0,BCG
15000246.0,BCG
15000247.0,BCG
15000251.0,BCG
15000252.0,BCG
15000254.0,BCG
15000255.0,BCG
15000256.0,BCG
15000264.0,BCG
15000266.0,BCG
15000268.0,BCG
15000269.0,BCG
15000271.0,BCG
15000274.0,BCG
15000276.0,BCG
15000278.0,BCG
15000281.0,BCG
15000285.0,BCG
15000289.0,BCG
15000292.0,BCG
15000297.0,BCG
15000299.0,BCG
15000306.0,BCG
15000309.0,BCG
15000312.0,BCG
15000317.0,BCG
15000319.0,BCG
15000322.0,BCG
15000325.0,BCG
15000329.0,BCG
15000330.0,BCG
15000334.0,BCG
15000337.0,BCG
15000340.0,BCG
15000343.0,BCG
15000344.0,BCG
15000346.0,BCG
15000348.0,BCG
15000351.0,BCG
15000352.0,BCG
15000353.0,BCG
15000355.0,BCG
15000354.0,BCG
15000356.0,BCG
15000365.0,BCG
15000367.0,BCG
15000369.0,BCG
15000378.0,BCG
15000381.0,BCG
15000384.0,BCG
15000387.0,BCG
15000389.0,BCG
15000393.0,BCG
15000398.0,BCG
15000402.0,BCG
15000404.0,BCG
15000407.0,BCG
15000411.0,BCG
15000410.0,BCG
15000412.0,BCG
15000414.0,BCG
15000415.0,BCG
15000418.0,BCG
15000420.0,BCG
15000421.0,BCG
15000423.0,BCG
15000424.0,BCG
15000425.0,BCG
15000427.0,BCG
15000428.0,BCG
15000488.0,BCG
15000515.0,BCG
15000522.0,BCG
15000560.0,BCG
15000578.0,BCG
15000592.0,BCG
15000601.0,BCG
15000612.0,BCG
15000641.0,BCG
15000653.0,BCG
15000681.0,BCG
15000693.0,BCG
15000698.0,BCG
15000706.0,BCG
15000731.0,BCG
15000744.0,BCG
15000754.0,BCG
15000765.0,BCG
15000774.0,BCG
15000834.0,BCG
15000978.0,BCG
15000980.0,BCG
15001000.0,BCG
15001002.0,BCG
15001005.0,BCG
15001008.0,BCG
15001011.0,BCG
15001014.0,BCG
15001017.0,BCG
15001021.0,BCG
15001026.0,BCG
15001029.0,BCG
15001030.0,BCG
15001034.0,BCG
15001039.0,BCG
15001043.0,BCG
15001047.0,BCG
15001050.0,BCG
15001054.0,BCG
15001058.0,BCG
15001061.0,BCG
15001065.0,BCG
15001067.0,BCG
15001076.0,BCG
15001085.0,BCG
15001088.0,BCG
15001365.0,BCG
15001441.0,BCG
15001443.0,BCG
15001454.0,BCG
15001639.0,BCG
15001702.0,BCG
15001724.0,BCG
15001756.0,BCG
15001830.0,BCG
15001992.0,BCG
15002059.0,BCG
15002258.0,BCG
15002541.0,BCG
15002550.0,BCG
15002705.0,BCG
15003208.0,BCG
15003214.0,BCG
15003215.0,BCG
15003219.0,BCG
15003224.0,BCG
15003351.0,BCG
15003606.0,BCG
15003743.0,BCG
15004025.0,BCG
15004162.0,BCG
15004232.0,BCG
15004380.0,BCG
15004518.0,BCG
15004520.0,BCG
15004540.0,BCG
15004555.0,BCG
15004551.0,BCG
15004565.0,BCG
15004570.0,BCG
15004617.0,BCG
15004823.0,BCG
15004827.0,BCG
15004994.0,BCG
15005020.0,BCG
15005022.0,BCG
15005062.0,BCG
15005199.0,BCG
15005254.0,BCG
15005359.0,BCG
15005453.0,BCG
15005475.0,BCG
15005492.0,BCG
15005532.0,BCG
15005538.0,BCG
15005542.0,BCG
15005544.0,BCG
15005549.0,BCG
15005551.0,BCG
15005556.0,BCG
15005559.0,BCG
15005561.0,BCG
15005587.0,BCG
15005588.0,BCG
15005598.0,BCG
15005599.0,BCG
15005601.0,BCG
15005603.0,BCG
15005604.0,BCG
15005605.0,BCG
15005606.0,BCG
15005608.0,BCG
15005610.0,BCG
15005636.0,BCG
15005638.0,BCG
15005640.0,BCG
15005641.0,BCG
15005642.0,BCG
15005643.0,BCG
15005650.0,BCG
15005652.0,BCG
15005701.0,BCG
15005732.0,BCG
15005735.0,BCG
15005745.0,BCG
15005780.0,BCG
15005815.0,BCG
15005821.0,BCG
15006132.0,BCG
15006364.0,BCG
15006782.0,BCG
15006793.0,BCG
15006817.0,BCG
15007453.0,BCG
15007512.0,BCG
15007515.0,BCG
15007528.0,BCG
15007529.0,BCG
15007850.0,BCG
15007999.0,BCG
15008110.0,BCG
15008221.0,BCG
15008222.0,BCG
15008223.0,BCG
15008224.0,BCG
15008225.0,BCG
15008308.0,BCG
15008310.0,BCG
15008313.0,BCG
15008787.0,BCG
16000268.0,BCG
16000527.0,BCG
16000815.0,BCG
16000840.0,BCG
16000875.0,BCG
16001662.0,BCG
16001664.0,BCG
16003911.0,BCG
16004444.0,BCG
16004450.0,BCG
16006059.0,BCG
16008684.0,BCG
17000122.0,BCG
17002175.0,BCG
17002219.0,BCG
17002541.0,BCG
17002558.0,BCG
17003102.0,BCG
17003303.0,BCG
17004153.0,BCG
17004303.0,BCG
17004847.0,BCG
17004850.0,BCG
17004988.0,BCG
17005130.0,BCG
17005196.0,BCG
17005286.0,BCG
17005294.0,BCG
17005334.0,BCG
17005433.0,BCG
17005485.0,BCG
17005491.0,BCG
17005496.0,BCG
17005503.0,BCG
17005516.0,BCG
17005617.0,BCG
17005624.0,BCG
17005654.0,BCG
17005665.0,BCG
17005671.0,BCG
17005683.0,BCG
17005710.0,BCG
17005716.0,BCG
17005721.0,BCG
17005722.0,BCG
17005766.0,BCG
17005817.0,BCG
17005835.0,BCG
17005841.0,BCG
17005842.0,BCG
17005864.0,BCG
17005882.0,BCG
17005897.0,BCG
17005921.0,BCG
17005948.0,BCG
17006031.0,BCG
17006036.0,BCG
17006071.0,BCG
17006084.0,BCG
17006087.0,BCG
17006104.0,BCG
17006111.0,BCG
17006121.0,BCG
17006303.0,BCG
17006320.0,BCG
17006983.0,BCG
17007122.0,BCG
17007672.0,BCG
17008735.0,BCG
17009909.0,BCG
17011785.0,BCG
18001839.0,BCG
18002080.0,BCG
18002331.0,BCG
18002363.0,BCG
18002366.0,BCG
18002372.0,BCG
18002394.0,BCG
18002395.0,BCG
18002449.0,BCG
18002559.0,BCG
18002567.0,BCG
18002574.0,BCG
18002578.0,BCG
18002580.0,BCG
18002597.0,BCG
18002600.0,BCG
18002606.0,BCG
18002608.0,BCG
18002611.0,BCG
18002615.0,BCG
18002620.0,BCG
18002623.0,BCG
18002644.0,BCG
18002650.0,BCG
18002652.0,BCG
18002659.0,BCG
18002669.0,BCG
18002676.0,BCG
18002704.0,BCG
18002713.0,BCG
18002718.0,BCG
18002723.0,BCG
18002730.0,BCG
18002832.0,BCG
18002859.0,BCG
18002912.0,BCG
18002920.0,BCG
18002964.0,BCG
18002970.0,BCG
18002977.0,BCG
18003039.0,BCG
18003140.0,BCG
18003182.0,BCG
18003200.0,BCG
18003258.0,BCG
18003329.0,BCG
18003363.0,BCG
18003370.0,BCG
18003446.0,BCG
18003539.0,BCG
18003707.0,BCG
18003766.0,BCG
18003778.0,BCG
18003787.0,BCG
18003802.0,BCG
18003807.0,BCG
18003810.0,BCG
18003813.0,BCG
18003815.0,BCG
18003822.0,BCG
18003871.0,BCG
18003900.0,BCG
18003908.0,BCG
18003912.0,BCG
18003918.0,BCG
18003923.0,BCG
18003926.0,BCG
18003944.0,BCG
18003966.0,BCG
18003975.0,BCG
18003988.0,BCG
18004100.0,BCG
18004101.0,BCG
18004105.0,BCG
18004107.0,BCG
18004120.0,BCG
18004126.0,BCG
18004143.0,BCG
18004159.0,BCG
18004163.0,BCG
18004183.0,BCG
18004199.0,BCG
18004211.0,BCG
18004249.0,BCG
18004267.0,BCG
18004296.0,BCG
18004324.0,BCG
18004340.0,BCG
18004351.0,BCG
18004357.0,BCG
18004411.0,BCG
18004423.0,BCG
18004442.0,BCG
18004528.0,BCG
18004537.0,BCG
18004544.0,BCG
18004560.0,BCG
18004610.0,BCG
18004624.0,BCG
18004637.0,BCG
18004644.0,BCG
18004688.0,BCG
18004707.0,BCG
18004739.0,BCG
18004745.0,BCG
18004760.0,BCG
18004783.0,BCG
18004844.0,BCG
18004871.0,BCG
18004924.0,BCG
18004934.0,BCG
18004947.0,BCG
18004963.0,BCG
18005062.0,BCG
18005073.0,BCG
18005091.0,BCG
18005217.0,BCG
18005522.0,BCG
18005639.0,BCG
18005808.0,BCG
18005891.0,BCG
18005916.0,BCG
18006087.0,BCG
18006133.0,BCG
18006935.0,BCG
18007441.0,BCG
18007458.0,BCG
18007507.0,BCG
18007917.0,BCG
18007934.0,BCG
18007972.0,BCG
18008165.0,BCG
18008482.0,BCG
18008640.0,BCG
18009001.0,BCG
18009007.0,BCG
18009056.0,BCG
18009063.0,BCG
18009068.0,BCG
18009097.0,BCG
18009102.0,BCG
18009112.0,BCG
18009126.0,BCG
18009141.0,BCG
18009149.0,BCG
18009172.0,BCG
18009174.0,BCG
18009178.0,BCG
18009181.0,BCG
18009195.0,BCG
18009484.0,BCG
18009708.0,BCG
18009801.0,BCG
18009802.0,BCG
18010047.0,BCG
18010209.0,BCG
18010330.0,BCG
18010359.0,BCG
18010406.0,BCG
18010418.0,BCG
18010419.0,BCG
18010541.0,BCG
18010543.0,BCG
18010544.0,BCG
18010545.0,BCG
18010546.0,BCG
18010641.0,BCG
18010789.0,BCG
18010794.0,BCG
18010801.0,BCG
18010901.0,BCG
18010902.0,BCG
18010903.0,BCG
18011046.0,BCG
18011049.0,BCG
18011050.0,BCG
18011055.0,BCG
18011056.0,BCG
18011067.0,BCG
18011192.0,BCG
18011383.0,BCG
18011385.0,BCG
18011523.0,BCG
18011524.0,BCG
18011527.0,BCG
18012101.0,BCG
18012377.0,BCG
18012399.0,BCG
18012792.0,BCG
18013026.0,BCG
18013498.0,BCG
18013501.0,BCG
19000495.0,BCG
19000529.0,BCG
19000538.0,BCG
19000546.0,BCG
19000551.0,BCG
19000568.0,BCG
19000580.0,BCG
19000584.0,BCG
19000588.0,BCG
19000590.0,BCG
19000596.0,BCG
19000602.0,BCG
19000620.0,BCG
19000623.0,BCG
19000625.0,BCG
19000628.0,BCG
19000631.0,BCG
19000635.0,BCG
19000639.0,BCG
19000652.0,BCG
19000662.0,BCG
19000664.0,BCG
19000667.0,BCG
19000677.0,BCG
19000682.0,BCG
19000686.0,BCG
19000728.0,BCG
19000740.0,BCG
19000741.0,BCG
19000751.0,BCG
19000761.0,BCG
19000768.0,BCG
19000770.0,BCG
19000774.0,BCG
19000777.0,BCG
19000778.0,BCG
19000780.0,BCG
19000781.0,BCG
19000783.0,BCG
19000786.0,BCG
19000787.0,BCG
19000788.0,BCG
19000790.0,BCG
19001078.0,BCG
19001328.0,BCG
19001481.0,BCG
19001497.0,BCG
19001502.0,BCG
19001508.0,BCG
19001512.0,BCG
19001516.0,BCG
19001522.0,BCG
19001554.0,BCG
19001558.0,BCG
19001559.0,BCG
19001562.0,BCG
19001563.0,BCG
19001565.0,BCG
19001570.0,BCG
19001571.0,BCG
19001573.0,BCG
19001574.0,BCG
19001577.0,BCG
19001717.0,BCG
19001947.0,BCG
19002007.0,BCG
19002025.0,BCG
19002051.0,BCG
19002061.0,BCG
19002073.0,BCG
19002082.0,BCG
19002086.0,BCG
19002096.0,BCG
19002129.0,BCG
19002137.0,BCG
19002148.0,BCG
19002235.0,BCG
19002300.0,BCG
19002309.0,BCG
19002312.0,BCG
19002314.0,BCG
19002317.0,BCG
19002322.0,BCG
19002378.0,BCG
19002385.0,BCG
19002388.0,BCG
19002392.0,BCG
19002510.0,BCG
19002524.0,BCG
19002565.0,BCG
19002592.0,BCG
19002593.0,BCG
19002613.0,BCG
19002636.0,BCG
19002648.0,BCG
19002657.0,BCG
19002667.0,BCG
19002692.0,BCG
19002696.0,BCG
19002737.0,BCG
19002743.0,BCG
19002790.0,BCG
19002820.0,BCG
19002826.0,BCG
19003023.0,BCG
19003024.0,BCG
19003030.0,BCG
19003036.0,BCG
19003093.0,BCG
19003121.0,BCG
19003202.0,BCG
19003260.0,BCG
19003262.0,BCG
19003290.0,BCG
19003388.0,BCG
19003481.0,BCG
19003544.0,BCG
19003887.0,BCG
19003889.0,BCG
19003897.0,BCG
19003904.0,BCG
19003911.0,BCG
19003915.0,BCG
19003927.0,BCG
19003938.0,BCG
19004017.0,BCG
19004025.0,BCG
19004038.0,BCG
19004068.0,BCG
19004086.0,BCG
19004091.0,BCG
19004103.0,BCG
19004106.0,BCG
19004141.0,BCG
19004147.0,BCG
19004154.0,BCG
19004169.0,BCG
19004170.0,BCG
19004196.0,BCG
19004201.0,BCG
19004207.0,BCG
19004219.0,BCG
19004241.0,BCG
19004252.0,BCG
19004268.0,BCG
19004273.0,BCG
19004319.0,BCG
19004326.0,BCG
19004333.0,BCG
19004340.0,BCG
19004352.0,BCG
19004368.0,BCG
19004380.0,BCG
19004401.0,BCG
19004417.0,BCG
19004433.0,BCG
19004442.0,BCG
19004460.0,BCG
19004462.0,BCG
19004465.0,BCG
19004493.0,BCG
19004496.0,BCG
19004500.0,BCG
19004517.0,BCG
19004519.0,BCG
19004539.0,BCG
19004541.0,BCG
19004581.0,BCG
19004609.0,BCG
19004636.0,BCG
19004804.0,BCG
19004810.0,BCG
19004827.0,BCG
19004842.0,BCG
19004858.0,BCG
19004874.0,BCG
19004883.0,BCG
19004934.0,BCG
19004940.0,BCG
19004955.0,BCG
19004970.0,BCG
19004980.0,BCG
19004998.0,BCG
19005020.0,BCG
19005042.0,BCG
19005050.0,BCG
19005067.0,BCG
19005073.0,BCG
19005084.0,BCG
19005094.0,BCG
19005095.0,BCG
19005108.0,BCG
19005115.0,BCG
19005120.0,BCG
19005132.0,BCG
19005187.0,BCG
19005192.0,BCG
19005200.0,BCG
19005215.0,BCG
19005229.0,BCG
19005276.0,BCG
19005277.0,BCG
19005296.0,BCG
19005338.0,BCG
19005363.0,BCG
19005366.0,BCG
19005464.0,BCG
19005487.0,BCG
19005492.0,BCG
19005497.0,BCG
19005500.0,BCG
19005512.0,BCG
19005515.0,BCG
19005535.0,BCG
19005546.0,BCG
19005548.0,BCG
19005632.0,BCG
19005843.0,BCG
19005851.0,BCG
19005898.0,BCG
19006095.0,BCG
19006154.0,BCG
19006786.0,BCG
19006869.0,BCG
19006903.0,BCG
19007033.0,BCG
19007216.0,BCG
19007333.0,BCG
19007344.0,BCG
19007355.0,BCG
19007399.0,BCG
19007405.0,BCG
19007407.0,BCG
19007464.0,BCG
19007492.0,BCG
19007628.0,BCG
19007664.0,BCG
19007728.0,BCG
19007975.0,BCG
19008101.0,BCG
19008129.0,BCG
19008132.0,BCG
19008212.0,BCG
19008242.0,BCG
19008313.0,BCG
19008394.0,BCG
19008438.0,BCG
19008440.0,BCG
19008480.0,BCG
19008588.0,BCG
19008595.0,BCG
19008751.0,BCG
