CODE_ETU,NOTE_S1,RESULT_S1,NOTE_S2,RESULT_S2,NOTE_S3,RESULT_S3,NOTE_S4,RESULT_S4,NOTE_ANNE_1,RESULT_ANNE_1,NOTE_ANEE_2,RESULT_ANNE_2,PARCOURS,ANNE_1,ANNE_2
13012743.0,6.7,NV,3.32,NV,2.18,NV,0.0,NP,5.01,NV,1.09,NV,BCG,2014.0,2014.0
13012783.0,9.49,AC,8.98,AC,0.44,NV,1.71,NV,9.23,AC,1.08,NV,BCG,2014.0,2014.0
13012801.0,6.29,NV,11.15,V,11.58,V,2.47,NV,8.72,AC,7.02,AC,BCG,2014.0,2014.0
13012802.0,5.03,NV,12.0,V,9.02,AC,4.15,NV,8.51,AC,6.59,NV,BCG,2014.0,2014.0
13012803.0,4.67,NV,2.83,NV,1.17,NV,0.0,NP,3.75,NV,0.58,NV,BCG,2014.0,2014.0
13012807.0,10.58,V,11.62,V,3.08,NV,1.67,NV,11.1,V,2.37,NV,BCG,2014.0,2014.0
13012808.0,8.22,AC,8.12,AC,1.52,NV,2.33,NV,8.17,AC,1.92,NV,BCG,2014.0,2014.0
13012823.0,7.15,AC,9.42,AC,2.83,NV,1.67,NV,8.28,AC,2.25,NV,BCG,2014.0,2014.0
13012905.0,6.62,NV,5.48,NV,0.02,NV,2.21,NV,6.05,NV,1.12,NV,BCG,2014.0,2014.0
13012911.0,9.6,AC,7.17,AC,7.9,AC,8.37,AC,8.38,AC,8.13,AC,BCG,2013.0,2014.0
13012939.0,5.93,NV,6.89,NV,0.85,NV,2.0,NV,6.41,NV,1.42,NV,BCG,2014.0,2014.0
13012949.0,3.19,NV,2.87,NV,0.0,NP,0.0,NP,3.03,NV,0.0,NP,BCG,2014.0,2015.0
13012967.0,6.08,NV,6.42,NV,1.89,NV,2.12,NV,6.25,NV,2.01,NV,BCG,2014.0,2014.0
13012975.0,5.0,NV,8.89,AC,8.67,AC,3.12,NV,6.94,NV,5.89,NV,BCG,2014.0,2014.0
13013038.0,10.04,V,11.18,V,7.84,AC,6.12,NV,10.61,V,6.98,NV,BCG,2014.0,2014.0
13013054.0,9.09,AC,10.61,V,1.29,NV,2.33,NV,9.85,AC,1.81,NV,BCG,2014.0,2014.0
13013056.0,9.15,AC,10.78,V,3.93,NV,2.0,NV,9.96,AC,2.97,NV,BCG,2014.0,2014.0
13013061.0,7.96,AC,5.74,NV,0.17,NV,1.67,NV,6.85,NV,0.92,NV,BCG,2014.0,2014.0
13013094.0,5.4,NV,6.09,NV,0.2,NV,1.83,NV,5.75,NV,1.02,NV,BCG,2014.0,2014.0
13013098.0,7.69,AC,8.83,AC,0.25,NV,1.92,NV,8.26,AC,1.08,NV,BCG,2014.0,2014.0
13013107.0,7.43,AC,1.8,NV,2.3,NV,0.0,NP,4.62,NV,1.15,NV,BCG,2014.0,2014.0
13013122.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
13013123.0,6.97,NV,9.65,AC,0.0,NP,2.71,NV,8.31,AC,1.35,NV,BCG,2014.0,2015.0
13013124.0,7.57,AC,6.68,NV,0.0,NP,1.42,NV,7.12,AC,0.71,NV,BCG,2014.0,2014.0
13013130.0,5.82,NV,8.19,AC,1.12,NV,1.67,NV,7.01,AC,1.4,NV,BCG,2014.0,2014.0
